listing_id,date
7.56753E+17,01-01-2023
16531782,01-01-2023
9005989,01-01-2023
7.37574E+17,01-01-2023
6.17242E+17,01-01-2023
7.74701E+17,01-01-2023
48124042,01-01-2023
7.88301E+17,01-01-2023
45529316,01-01-2023
7.57342E+17,01-01-2023
47440071,01-01-2023
46894493,01-01-2023
7.61142E+17,01-01-2023
52611613,01-01-2023
5.81058E+17,01-01-2023
6.67645E+17,01-01-2023
6.68608E+17,01-01-2023
52863776,01-01-2023
52691284,01-01-2023
35914565,01-01-2023
6.68608E+17,01-01-2023
44265426,02-01-2023
6.31035E+17,02-01-2023
16531782,02-01-2023
22398196,02-01-2023
54128829,02-01-2023
34330970,02-01-2023
5.93272E+17,02-01-2023
51579900,02-01-2023
47943571,02-01-2023
40828178,02-01-2023
10768745,02-01-2023
7.23957E+17,02-01-2023
6.92808E+17,02-01-2023
25549565,03-01-2023
43736299,03-01-2023
54128829,03-01-2023
48052353,03-01-2023
48172884,03-01-2023
53312101,04-01-2023
9501054,04-01-2023
6.67645E+17,04-01-2023
53860077,04-01-2023
52619545,05-01-2023
7.74701E+17,05-01-2023
48172884,05-01-2023
38321579,05-01-2023
52241973,05-01-2023
42092736,06-01-2023
33558235,06-01-2023
41319631,06-01-2023
54150131,06-01-2023
52152157,06-01-2023
48052353,06-01-2023
7.23957E+17,06-01-2023
52611613,06-01-2023
42763847,06-01-2023
25549565,07-01-2023
52611613,08-01-2023
46894493,08-01-2023
6.68608E+17,08-01-2023
6.77623E+17,08-01-2023
50211226,08-01-2023
52691284,08-01-2023
52863776,08-01-2023
45529447,08-01-2023
6.67645E+17,08-01-2023
35914565,08-01-2023
7.23957E+17,08-01-2023
47440071,08-01-2023
44180048,08-01-2023
54128829,08-01-2023
6.31035E+17,08-01-2023
48172884,08-01-2023
25549565,08-01-2023
35793179,09-01-2023
6.54303E+17,09-01-2023
53645427,09-01-2023
16531782,09-01-2023
45313545,09-01-2023
28722270,09-01-2023
52241973,09-01-2023
19527043,10-01-2023
25549565,10-01-2023
10768745,10-01-2023
52241973,10-01-2023
35793179,10-01-2023
9005989,11-01-2023
16531782,11-01-2023
5.93272E+17,11-01-2023
35793179,11-01-2023
52863776,11-01-2023
10768745,11-01-2023
54128829,11-01-2023
52152157,12-01-2023
54128829,12-01-2023
35793179,12-01-2023
28400263,12-01-2023
6.68608E+17,12-01-2023
25549565,12-01-2023
9005989,12-01-2023
50211226,13-01-2023
6.68608E+17,13-01-2023
7.23957E+17,13-01-2023
33558235,13-01-2023
6.89719E+17,13-01-2023
7.74701E+17,13-01-2023
